condition,Effortlevel1,success_possibility1,Effortlevel2,success_possibility2
low_prior,3,40,3,40
low_prior,3,50,3,40
low_prior,3,60,3,40
low_prior,3,40,4,40
low_prior,3,50,4,40
low_prior,3,60,4,40
low_prior,3,40,3,50
low_prior,3,50,3,50
low_prior,3,60,3,50
low_prior,3,40,4,50
low_prior,3,50,4,50
low_prior,3,60,4,50
low_prior,3,40,3,60
low_prior,3,50,3,60
low_prior,3,60,3,60
low_prior,3,40,4,60
low_prior,3,50,4,60
low_prior,3,60,4,60
high_prior,4,40,3,40
high_prior,4,50,3,40
high_prior,4,60,3,40
high_prior,4,40,4,40
high_prior,4,50,4,40
high_prior,4,60,4,40
high_prior,4,40,3,50
high_prior,4,50,3,50
high_prior,4,60,3,50
high_prior,4,40,4,50
high_prior,4,50,4,50
high_prior,4,60,4,50
high_prior,4,40,3,60
high_prior,4,50,3,60
high_prior,4,60,3,60
high_prior,4,40,4,60
high_prior,4,50,4,60
high_prior,4,60,4,60
no_prior,3,40,0,0
no_prior,3,40,0,0
no_prior,3,40,0,0
no_prior,4,40,0,0
no_prior,4,40,0,0
no_prior,4,40,0,0
no_prior,3,50,0,0
no_prior,3,50,0,0
no_prior,3,50,0,0
no_prior,4,50,0,0
no_prior,4,50,0,0
no_prior,4,50,0,0
no_prior,3,60,0,0
no_prior,3,60,0,0
no_prior,3,60,0,0
no_prior,4,60,0,0
no_prior,4,60,0,0
no_prior,4,60,0,0
low_prior,3,40,3,40
low_prior,3,50,3,40
low_prior,3,60,3,40
low_prior,3,40,4,40
low_prior,3,50,4,40
low_prior,3,60,4,40
low_prior,3,40,3,50
low_prior,3,50,3,50
low_prior,3,60,3,50
low_prior,3,40,4,50
low_prior,3,50,4,50
low_prior,3,60,4,50
low_prior,3,40,3,60
low_prior,3,50,3,60
low_prior,3,60,3,60
low_prior,3,40,4,60
low_prior,3,50,4,60
low_prior,3,60,4,60
high_prior,4,40,3,40
high_prior,4,50,3,40
high_prior,4,60,3,40
high_prior,4,40,4,40
high_prior,4,50,4,40
high_prior,4,60,4,40
high_prior,4,40,3,50
high_prior,4,50,3,50
high_prior,4,60,3,50
high_prior,4,40,4,50
high_prior,4,50,4,50
high_prior,4,60,4,50
high_prior,4,40,3,60
high_prior,4,50,3,60
high_prior,4,60,3,60
high_prior,4,40,4,60
high_prior,4,50,4,60
high_prior,4,60,4,60
no_prior,3,40,0,0
no_prior,3,40,0,0
no_prior,3,40,0,0
no_prior,4,40,0,0
no_prior,4,40,0,0
no_prior,4,40,0,0
no_prior,3,50,0,0
no_prior,3,50,0,0
no_prior,3,50,0,0
no_prior,4,50,0,0
no_prior,4,50,0,0
no_prior,4,50,0,0
no_prior,3,60,0,0
no_prior,3,60,0,0
no_prior,3,60,0,0
no_prior,4,60,0,0
no_prior,4,60,0,0
no_prior,4,60,0,0
low_prior,3,40,3,40
low_prior,3,50,3,40
low_prior,3,60,3,40
low_prior,3,40,4,40
low_prior,3,50,4,40
low_prior,3,60,4,40
low_prior,3,40,3,50
low_prior,3,50,3,50
low_prior,3,60,3,50
low_prior,3,40,4,50
low_prior,3,50,4,50
low_prior,3,60,4,50
low_prior,3,40,3,60
low_prior,3,50,3,60
low_prior,3,60,3,60
low_prior,3,40,4,60
low_prior,3,50,4,60
low_prior,3,60,4,60
high_prior,4,40,3,40
high_prior,4,50,3,40
high_prior,4,60,3,40
high_prior,4,40,4,40
high_prior,4,50,4,40
high_prior,4,60,4,40
high_prior,4,40,3,50
high_prior,4,50,3,50
high_prior,4,60,3,50
high_prior,4,40,4,50
high_prior,4,50,4,50
high_prior,4,60,4,50
high_prior,4,40,3,60
high_prior,4,50,3,60
high_prior,4,60,3,60
high_prior,4,40,4,60
high_prior,4,50,4,60
high_prior,4,60,4,60
no_prior,3,40,0,0
no_prior,3,40,0,0
no_prior,3,40,0,0
no_prior,4,40,0,0
no_prior,4,40,0,0
no_prior,4,40,0,0
no_prior,3,50,0,0
no_prior,3,50,0,0
no_prior,3,50,0,0
no_prior,4,50,0,0
no_prior,4,50,0,0
no_prior,4,50,0,0
no_prior,3,60,0,0
no_prior,3,60,0,0
no_prior,3,60,0,0
no_prior,4,60,0,0
no_prior,4,60,0,0
no_prior,4,60,0,0
low_prior,3,0,3,40
high_prior,4,0,3,40
no_prior,3,0,0,0
low_prior,3,0,3,60
high_prior,4,0,4,50
no_prior,4,0,0,0
low_prior,3,0,4,50
high_prior,4,0,3,60
no_prior,4,0,0,0